title,journal,date,abstract
Synthesis of shell/core structural nitrogen-doped carbon/silicon carbide and its electrochemical properties as a cathode catalyst for fuel cells,Electrochemistry Communications,2013,"A shell/core structural N-doped carbon/silicon carbide (N-doped C/SiC) was prepared by two-steps: pre-carbonization and N doping process. The first step was carried out on nano-SiC using acid etching method. Nanoporous amorphous carbons were formed on the surface of SiC after acid etching, which could make it easy to adsorb N source and reduce the energy needed in the next step. The prepared N-doped C/SiC exhibited a high durability and a good catalytic activity for oxygen reduction reaction. Keywords: Oxygen reduction reaction, Nitrogen doped carbon, Carbide derived carbon, Shell/core structure"
Highly active Ptâ€“Pd alloy catalyst for oxygen reduction reaction in buffer solution,Electrochemistry Communications,2011,"Structure-controlled metallic catalysts have been well known to exhibit an improved electrocatalytic activity due to modulated surface structures favourable for electrochemical reactions. We synthesize octahedral Ptâ€“Pd nanoparticles reducing metal ions with glycerol as a reducing agent in an aqueous solution. The octahedral Ptâ€“Pd nanoparticles exhibit dominant {111} facets with homogeneous alloy formation between Pt and Pd atom. For oxygen reduction reaction in buffer solution, the octahedral Ptâ€“Pd alloy electrocatalyst shows highly electro-catalytic activity. Keywords: Shape control, Platinum, Palladium, Oxygen reduction, Buffer solution"
A Platinum Monolayer Core-Shell Catalyst with a Ternary Alloy Nanoparticle Core and Enhanced Stability for the Oxygen Reduction Reaction,Journal of Nanomaterials,2015,"/C catalyst exhibits excellent oxygen reduction reaction activity, yielding a mass activity significantly higher than that of Pt monolayer catalysts containing PdIr or PdNi nanoparticles as cores and four times higher than that of a commercial Pt/C electrocatalyst. In 0.1â€‰M HClO4, the half-wave potential reaches 0.91â€‰V, about 30â€‰mV higher than that of Pt/C. We verify the structure and composition of the carbon-supported PdIrNi nanoparticles using X-ray powder diffraction, X-ray photoelectron spectroscopy, thermogravimetry, transmission electron microscopy, and energy dispersive X-ray spectrometry, and we perform a stability test that confirms the excellent stability of our core-shell catalyst. We suggest that the porous structure resulting from the dissolution of Ni in the alloy nanoparticles may be the main reason for the catalystâ€™s enhanced performance."
Insights into electrochemical dealloying of Cu out of Au-doped Pt-alloy nanoparticles at the sub-nano-scale,Journal of Electrochemical Science and Engineering,2018,"Pt alloy nanoparticles present the most probable candidate to be used as the cathode cathodic oxygen reduction reaction electrocatalyst for achieving commercialization targets of the low-temperature fuel cells. It is therefore very important to understand its activation and degradation processes. Besides the ones known from the pure Pt electrocatalysts, the dealloying phenomena possess a great threat since the leached less-noble metal can interact with the polymer membrane or even poison the electrocatalyst. In this study, we present a solution, supported by in-depth advance electrochemical characterization, on how to suppress the removal of Cu from the Pt alloy nanoparticles."
Effect of solvent on Se-modified ruthenium/carbon catalyst for oxygen reduction,Progress in Natural Science: Materials International,2014,"Se-modified ruthenium supporting on carbon (Sexâ€“Ru/C) electrocatalyst was prepared by solvothermal one-step synthesis method. The reaction mechanism was revealed after discussing impact of different solvents (i-propanol and EG) in solvotermal reaction. The result showed that the grain size of Se-modified ruthenium electrocatalyst was as small as 1 to 3Â nm and highly dispersed on carbon surface. X-ray photoelectron spectroscopy (XPS) presented that selenium mainly existed in the catalyst in the form of elemental selenium and selenium oxides when the solvent was EG and i-propanol, respectively. The oxygen reduction reaction (ORR) performance was improved by appearance of selenium oxides."
Monodispersed Pt<sub>3</sub>Ni Nanoparticles as a Highly Efficient Electrocatalyst for PEMFCs,Catalysts,2019,"A facile strategy is proposed to synthesize monodispersed Pt<sub>3</sub>Ni nanoparticles. Such a kind of electrocatalyst shows a larger electrochemical surface area (98.9 m<sup>2</sup> g<sub>pt</sub><sup>&#8722;1</sup>) and double the mass activity of the oxygen reduction reaction activity compared to commercial Pt/C catalyst. The results show that the suitable addition of Ni and triethylamine in the reduction process plays an important role in controlling the size and dispersion of Pt<sub>3</sub>Ni nanoparticles. A further membrane electrode assembly test proves that as-prepared Pt<sub>3</sub>Ni nanoparticles can greatly enhance the electrochemical performance of a proton exchange membrane fuel cell, which exhibits a great potential of application in fuel cells."
Does CO poison Fe-based catalysts for ORR?,Electrochemistry Communications,2010,"Catalysts for the oxygen reduction reaction (ORR) were prepared on carbon black (C) using FeIIphthalocyanine (FePc) and Clâ€“FeIIItetramethoxyphenylporphyrin (ClFeTMPP), as Fe precursors with and without a pyrolysis step at 800Â Â°C. CO poisoning of the ORR catalytic sites for all these Fe/N/C electrocatalysts was attempted at pH 1 and 13, but to no avail, even if an iron ion is known to occupy the center of the active sites in at least the unpyrolyzed FePc/C or ClFeTMPP/C. The exact nature of the active center of these Fe-based heat-treated catalysts may still be a subject of debate but, in light of the absence of CO poisoning for unpyrolyzed FePc/C and ClFeTMPP/C, resistance to CO poisoning by the heat-treated catalysts cannot be used as evidence that the active center of their catalytic site is devoid of iron. Keywords: Fuel cell, Non-noble metal catalyst, CO, Oxygen reduction"
REMEDIATION OF TEXTILE DYES MIXTURES USING TIO2/VIS PHOTOCATALYSIS AND FENTON FE2+/H2O2,Revista Brasileira de Engenharia de Biossistemas,2015,"<p class=""Default"">This study aimed to use the following treatment technology: TiO<sub>2 </sub>photocatalysis andÂ Fenton reaction for the remediation of mixture of textile dyes.Â  For the photocatalytic treatment it was obtained a reduction in color of 80% and Chemical Oxygen Demand of 60% using for this 600 mg L<sup>-1</sup> of TiO<sub>2</sub>, 1500Â  mL min<sup>-1</sup>Â recirculation flow, temperature 40<sup> o</sup>C/45<sup> o</sup>C and pH = 6.3 for 60 minutes of treatment. By Fenton reaction it was reached color reduction at 95%Â and Chemical Oxygen Demand reduction at 75% employing 60 mg L<sup>-1 </sup>H<sub>2</sub>O<sub>2</sub>, 50 mg L<sup>-1</sup> de Fe<sup>2+</sup> and pH = 4.0 for 62 minutes of treatment.</p>"
Microscopic Analysis of Steel Corrosion Products in Seawater and Sea-Sand Concrete,Materials,2019,"In this paper, the types, formation time, structural morphology, and influence of steel corrosion products in seawater and sea-sand concrete were studied, and the intermediate and final products of steel corrosion under different conditions were determined. The corrosion products of steel in these concrete specimens under two curing methods were studied separately by X-ray powder diffraction (XRD) and scanning electron microscopy (SEM). Due to the presence of a large amount of chloride ions in the concrete, the rust layer on the surface of a steel bar contained many intermediates, such as lepidocrocite (&#947;&#8722;FeOOH) and aka-ganeite (&#946;&#8722;FeOOH). Under wet/dry cycles, with the addition and loss of moisture in concrete, various corrosion products were also dynamically converted into each other. In the specimens immersed in seawater for a long time, the intermediates of corrosion were lepidocrocite (&#947;&#8722;FeOOH) and aka-ganeite (&#946;&#8722;FeOOH), which were substituted for oxygen as the new depolarizers of cathode reduction reaction, and consumed themselves to ensure smooth corrosion."
Supportless PdFe nanorods as highly active electrocatalyst for proton exchange membrane fuel cell,Electrochemistry Communications,2009,"The PdFe nanorods (PdFe-NRs) with tunable length were synthesized by an organic phase reaction of [Pd(acac)2] and thermal decomposition of [Fe(CO)5] in a mixture of oleyamine and octadecene at 160Â Â°C. They show a better proton exchange membrane fuel cell (PEMFC) performance than commercial Pt/C in working voltage region of 0.80â€“0.65Â V, due to their high intrinsic activity to oxygen reduction reaction (ORR), reduced cell inner resistance, and improved mass transport. Keywords: Nanorod, Oxygen reduction, Catalyst, Palladium, Fuel cells"
